,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
3864,2019186809,10419 N Euclid Ave,Shoal Creek,H,64155.0,Shoal Creek,1.0,EMAIL,4068,Storm Water / Sewer,2262,21,417,Sewer Referral,Storm Water / Sewer Sewer Referral,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Restoration,Sewer-Sewer Referral-Restoration,Restoration,10/30/2019,2:09 PM,10,2019,RESOL,Y,11/20/2019,11.0,2019.0,21.0,"10419 N Euclid Ave64155
(39.283341, -94.554855)",Clay,39.283341,-94.554855,222183,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186809
3865,2019186725,657 W 70th Ter,Armour Fields,H,64113.0,Metro,6.0,EMAIL,4068,Storm Water / Sewer,2262,1,9171,Sewer Referral,Storm Water / Sewer Sewer Referral,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Restoration,Sewer-Sewer Referral-Restoration,Restoration,10/30/2019,12:28 PM,10,2019,RESOL,N,10/31/2019,10.0,2019.0,1.0,"657 W 70th Ter64113
(39.000503, -94.599895)",Jackson,39.000503,-94.599895,109633,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186725
3866,2019186721,8101 NW 68th St,Royal Oaks North,H,64152.0,North,2.0,EMAIL,4068,Storm Water / Sewer,2262,180,2874,Culvert,Storm Water / Sewer Culvert,SEWER_WASTE_STORMWATER,VISIBLE,Public Works,Public Works-Street and Traffic-District 1,Stormwater-Culvert-North,North,10/30/2019,12:25 PM,10,2019,OPEN,Y,,,,,"8101 NW 68th St64152
(39.217073, -94.675067)",Platte,39.217073,-94.675067,171252,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019186721
3867,2020012821,649 W 67th Ter,Armour Fields,H,64113.0,Metro,6.0,PHONE,30436,Storm Water / Sewer,2262,56,124,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Backup / Leak-In a house,In A House,1/27/2020,3:51 PM,1,2020,RESOL,Y,3/23/2020,3.0,2020.0,56.0,"649 W 67th Ter64113
(39.006316, -94.598591)",Jackson,39.006316,-94.598591,109533,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020012821
3868,2019166162,5301 N Kensington Ave,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,PHONE,30436,Storm Water / Sewer,2262,1,9171,Sewer Backup / Leak,Storm Water / Sewer Sewer Backup / Leak,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Storm Water / Sewer-Sewer Backup / Leak-In a house,In A House,9/15/2019,10:55 AM,9,2019,RESOL,N,9/16/2019,9.0,2019.0,1.0,"5301 N Kensington Ave64119
(39.189961, -94.527322)",Clay,39.189961,-94.527322,80826,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019166162
3869,2019166219,1000 W 93rd Ter,Lea Manor,H,64114.0,Metro,6.0,WEB,13543,Storm Water / Sewer,2262,32,184,Storm Drain / Catch Basin,Storm Water / Sewer Storm Drain / Catch Basin,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Stormwater,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow,Clogged / Over-Flow,9/15/2019,7:03 PM,9,2019,RESOL,Y,10/17/2019,10.0,2019.0,32.0,"1000 W 93rd Ter64114
(38.958926, -94.603148)",Jackson,38.958926,-94.603148,152452,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019166219
3870,2019166200,8740 N AMBASSADOR DR,Coves North,H,64154.0,North,2.0,WEB,13543,Storm Water / Sewer,2262,107,26,Storm Water Referral,Storm Water / Sewer Storm Water Referral,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Stormwater,Stormwater-Stormwater Referral-Repair,Repair,9/15/2019,2:25 PM,9,2019,RESOL,Y,12/31/2019,12.0,2019.0,107.0,"8740 N AMBASSADOR DR64154
(39.252022, -94.650348)",Platte,39.252022,-94.650348,207782,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019166200
3871,2019180128,4900 Oak St,South Plaza,H,64112.0,Metro,4.0,PHONE,30436,Storm Water / Sewer,2262,0,4266,Manhole,Storm Water / Sewer Manhole,ROADS_LIGHTS_SIGNS,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Manhole-Missing / Broken,Missing / Broken,10/15/2019,1:12 PM,10,2019,RESOL,N,10/15/2019,10.0,2019.0,0.0,"4900 Oak St64112
(39.037954, -94.583166)",Jackson,39.037954,-94.583166,140258,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180128
3872,2019166044,7745 N Garfield Ave,Ridgefield,H,64118.0,Shoal Creek,1.0,PHONE,30436,Storm Water / Sewer,2262,33,224,Sewer Odor,Storm Water / Sewer Sewer Odor,SEWER_WASTE_STORMWATER,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Odor-Indoor,Indoor,9/14/2019,10:56 AM,9,2019,RESOL,Y,10/17/2019,10.0,2019.0,33.0,"7745 N Garfield Ave64118
(39.234359, -94.554054)",Clay,39.23435900000001,-94.554054,94672,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019166044
3873,2019180098,4900 Oak St,South Plaza,H,64112.0,Metro,4.0,PHONE,30436,Storm Water / Sewer,2262,14,674,Manhole,Storm Water / Sewer Manhole,ROADS_LIGHTS_SIGNS,VISIBLE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Manhole-Missing / Broken,Missing / Broken,10/15/2019,12:56 PM,10,2019,RESOL,N,10/29/2019,10.0,2019.0,14.0,"4900 Oak St64112
(39.037954, -94.583166)",Jackson,39.037954,-94.583166,140258,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180098
