,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
2473,2019173105,1235 W 70th St,Romanelli West,H,64113.0,Metro,6.0,PHONE,30436,Property / Buildings / Construction,7280,180,2874,Land Use / Zoning Issue,Property / Buildings / Construction Land Use / Zoning Issue,PROPERTY,NOT_VISIBLE,City Planning and Development,City Planning and Development-Dev Comp-Zoning,Prop/Build/Construct-Land Use / Zoning-Short Term Rental,Short Term Rental,9/30/2019,8:26 AM,9,2019,OPEN,N,,,,,"1235 W 70th St64113
(39.001648, -94.607277)",Jackson,39.001648,-94.607277,110159,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019173105
2474,2019173330,8111 N Spruce Ave,Shoal Creek,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,43,169,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,9/30/2019,11:43 AM,9,2019,RESOL,N,11/12/2019,11.0,2019.0,43.0,"8111 N Spruce Ave64119
(39.241287, -94.529027)",Clay,39.241287,-94.529027,212598,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019173330
2475,2020003791,901 St Andrews Dr,Blue Hills Estates,H,64145.0,South,6.0,WEB,13543,Property / Buildings / Construction,7280,57,89,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,1/9/2020,12:00 PM,1,2020,RESOL,N,3/6/2020,3.0,2020.0,57.0,"901 St Andrews Dr64145
(38.892497, -94.603477)",Jackson,38.892497,-94.603477,159411,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003791
2476,2020003865,7845 Summit St,Ward Parkway,H,64114.0,Metro,6.0,INSPE,269,Property / Buildings / Construction,7280,22,374,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,1/9/2020,1:17 PM,1,2020,RESOL,Y,1/31/2020,1.0,2020.0,22.0,"7845 Summit St64114
(38.985431, -94.598603)",Jackson,38.985431,-94.598603,120204,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003865
2477,2019165756,8810 N Agnes Ave,Gashland,H,64156.0,Shoal Creek,1.0,PHONE,30436,Property / Buildings / Construction,7280,298,2,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,9/13/2019,1:39 PM,9,2019,RESOL,Y,7/7/2020,7.0,2020.0,298.0,"8810 N Agnes Ave64156
(39.253251, -94.543716)",Clay,39.253251,-94.543716,236744,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019165756
2478,2019197950,8700 NW 82nd Ter,Park Forest,H,64152.0,North,2.0,WEB,13543,Property / Buildings / Construction,7280,77,81,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,11/29/2019,10:20 AM,11,2019,RESOL,Y,2/14/2020,2.0,2020.0,77.0,"8700 NW 82nd Ter64152
(39.244929, -94.680217)",Platte,39.244929,-94.680217,168384,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197950
2479,2020003934,4948 Westwood Ter,Westwood,H,64112.0,Central,4.0,WEB,13543,Property / Buildings / Construction,7280,4,2743,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-Priority,Prop/Build/Construct-Property Maintenance-No Utilities,No Utilities,1/9/2020,2:47 PM,1,2020,RESOL,N,1/13/2020,1.0,2020.0,4.0,"4948 Westwood Ter64112
(39.038338, -94.604854)",Jackson,39.038338,-94.604854,142227,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003934
2480,2019197296,1008 NE 103rd St,New Mark,H,64155.0,Shoal Creek,2.0,WEB,13543,Property / Buildings / Construction,7280,251,5,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,11/26/2019,12:16 PM,11,2019,RESOL,Y,8/3/2020,8.0,2020.0,251.0,"1008 NE 103rd St64155
(39.280463, -94.566328)",Clay,39.280463,-94.566328,103719,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197296
2481,2019197467,704 W 76th St,Ward Parkway,H,64114.0,Metro,6.0,EMAIL,4068,Property / Buildings / Construction,7280,180,2874,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,11/26/2019,4:11 PM,11,2019,OPEN,N,,,,,"704 W 76th St64114
(38.991102, -94.597843)",Jackson,38.99110200000001,-94.597843,119751,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197467
2482,2019197370,7203 Washington St,Ward Parkway,H,64114.0,Metro,6.0,PHONE,30436,Property / Buildings / Construction,7280,0,4266,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,11/26/2019,1:49 PM,11,2019,RESOL,N,11/26/2019,11.0,2019.0,0.0,"7203 Washington St64114
(38.997617, -94.594736)",Jackson,38.997617,-94.594736,110580,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197370
