,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Trash / Recycling
0,456,848,358,56044,156425,434,1513,298,41,93,63,327,938,15,15.0,25,12.04
1,431,980,332,27803,62380,34,143,358,10,301,121,155,328,47,35.0,33,33.34507042
2,392,91,687,71767,266200,595,1339,111,12,127,47,276,701,31,26.0,28,5.770114942999999
3,390,1105,262,37498,58311,91,90,717,4,32,125,196,365,50,43.0,36,38.6798419
4,385,304,401,39375,28200,86,39,652,0,0,43,279,349,6,31.0,30,16.75
5,382,774,312,34026,80666,112,388,310,14,38,100,261,423,30,21.0,42,30.36923077
6,380,344,403,34792,50266,28,66,818,3,88,101,190,417,24,36.0,45,18.76219512
7,376,419,320,47937,89050,195,353,901,0,161,55,295,606,32,29.0,33,7.5625
8,375,521,348,36061,117100,142,80,505,6,114,73,253,398,54,50.0,39,17.84615385
9,371,765,300,67012,388550,545,842,40,27,78,122,470,619,84,44.0,53,5.631578947
10,368,305,419,53907,99075,152,667,190,9,59,54,93,404,13,27.0,22,19.67231638
11,365,910,267,35988,37400,15,319,117,0,754,76,201,417,46,34.0,29,33.6625
12,356,937,252,31476,58300,54,81,424,5,8,84,139,243,37,39.0,30,34.2244898
13,350,363,325,30581,35040,34,62,677,0,63,74,225,357,39,41.0,29,18.05035971
14,348,482,202,30578,96100,302,707,1070,37,161,164,774,947,3,28.0,26,6.285714286
15,343,283,389,39797,55680,76,242,161,41,441,69,150,325,47,31.0,34,18.97515528
16,342,283,389,41690,56316,53,303,110,103,355,96,116,288,68,38.0,48,30.44871795
17,341,438,230,27778,165800,332,742,502,63,208,89,540,730,59,58.0,59,14.51807229
18,339,947,230,32326,32450,48,78,1064,0,0,144,164,451,43,44.0,40,15.87704918
19,329,253,344,45449,99400,90,238,523,9,15,31,159,327,10,5.0,28,15.09375
20,328,457,304,53522,163050,327,425,143,1,374,79,251,504,52,51.0,39,13.92436975
21,325,260,376,35495,84342,122,349,670,5,37,98,306,439,18,38.0,38,25.20895522
22,321,221,210,27038,53466,72,94,876,0,16,110,228,411,24,39.0,28,8.704918033
23,319,253,374,38533,66950,56,319,806,0,85,46,308,394,28,25.0,40,49.02463054
24,318,382,239,87736,183600,395,694,35,41,60,40,20,376,31,20.0,34,6.266666667000001
25,315,333,405,20142,53500,19,91,669,0,61,91,202,379,30,38.0,28,44.92307692
26,309,326,277,53250,66050,104,394,328,0,30,34,97,306,17,17.0,28,20.1965812
27,308,232,372,41412,61350,53,84,746,0,37,96,209,408,20,34.0,27,20.64444444
28,307,222,379,88004,189100,266,972,128,6,230,25,46,470,23,16.0,27,9.166666667000001
29,307,421,177,29954,114520,83,207,388,46,211,100,258,343,66,41.0,49,13.85057471
30,304,223,374,58713,113100,140,950,37,33,70,25,223,484,29,20.0,30,9.657894737000001
31,304,342,252,42314,172600,493,956,349,11,36,0,516,772,43,25.0,40,5.152941176000001
32,303,266,328,52946,139600,444,1339,335,28,205,37,485,811,33,18.0,33,19.0
33,298,299,286,47784,85875,81,402,365,6,135,44,183,376,13,28.0,20,49.40740741
34,298,269,317,59569,135900,222,821,6,24,71,8,63,451,36,28.0,31,28.83333333
35,297,563,249,62916,221675,349,626,162,32,44,150,396,510,80,51.0,73,41.08108108
36,295,618,237,37947,92400,174,36,902,17,9,64,228,466,59,44.0,41,18.68852459
37,293,270,304,24377,45912,25,150,258,27,310,101,155,275,68,42.0,48,29.29333333
38,291,328,285,80152,341500,458,539,100,78,82,91,256,444,64,51.0,72,4.333333333
39,290,250,330,31217,69250,72,104,634,0,137,116,255,373,56,48.0,48,33.6119403
40,285,240,314,124650,279000,525,882,50,22,51,4,23,410,18,23.0,32,6.038461538
41,284,436,114,35000,112500,84,87,1057,0,90,127,393,598,42,27.0,39,11.5
42,279,302,239,51719,389600,281,453,10,13,0,49,129,268,79,46.0,60,4.181818182
43,276,331,221,49271,122100,223,746,242,32,191,15,221,556,31,29.0,32,15.06756757
44,275,271,365,53750,86800,106,368,1393,0,25,124,298,482,16,6.0,27,21.328125
45,274,258,280,22785,33499,13,202,313,1,264,109,192,336,38,38.0,23,43.229357799999995
46,274,258,280,17634,48550,98,318,131,19,769,109,250,411,44,36.0,29,39.45679012
47,255,221,277,48041,68650,16,52,433,0,47,100,71,191,40,43.0,29,20.85507246
