,total crime,violent crime,property crime,Median income,Median home value,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Animals / Pets,Lights / Signals,Trash / Recycling
16,0.484814398200225,0.3092436974789916,0.617948717948718,0.14275846796304886,0.04888848544597272,0.12468085106382978,0.07896625987078248,0.31212121212121213,0.4616384915474642,0.384,0.09578860445912468,0.0743295019157088,0.7333333333333333,0.5205479452054794,0.1190163072113676,0.06438356164462375,0.3165083015757152
17,0.4836895388076491,0.4394957983193278,0.41410256410256413,0.06940460623444551,0.16445095582546354,0.31148936170212765,0.3603732950466619,0.19090909090909092,0.270481144343303,0.356,0.4459124690338563,0.4130268199233717,0.6333333333333333,0.7945205479452054,0.13479747501770226,0.05927770859776865,0.14103305433787244
18,0.48143982002249724,0.8672268907563025,0.41410256410256413,0.093384865229679,0.02369746284836094,0.028936170212765955,0.7638190954773869,0.0,0.0,0.5760000000000001,0.13542526837324526,0.1992337164750958,0.4555555555555556,0.6027397260273972,0.27927171094540093,0.18132004973596275,0.15600211528196378
19,0.4701912260967379,0.2840336134453782,0.5602564102564103,0.16257856329354198,0.09436447713270305,0.09702127659574468,0.375448671931084,0.02727272727272727,0.01950585175552666,0.124,0.13129644921552436,0.10421455938697316,0.08888888888888889,0.0684931506849315,0.06180957391340446,0.04027397260494653,0.14737411487286428
20,0.469066366704162,0.4554621848739496,0.5089743589743589,0.20514510482136078,0.16154827786755555,0.17659574468085107,0.10265613783201723,0.0030303030303030303,0.48634590377113135,0.316,0.20726672171758875,0.23984674329501915,0.5555555555555556,0.6986301369863013,0.17058690910483645,0.06301369863906925,0.13449345122223605
21,0.4656917885264342,0.28991596638655465,0.6012820512820513,0.1100940650440798,0.07847046815445624,0.14425531914893616,0.4809763101220388,0.015151515151515152,0.04811443433029909,0.392,0.2526837324525186,0.19003831417624523,0.17777777777777778,0.5205479452054794,0.03103629669105188,0.16061643836496528,0.25879258307078273
22,0.46119235095613054,0.2571428571428572,0.38846153846153847,0.06550280507866875,0.04588025556232261,0.03574468085106383,0.6288585786073223,0.0,0.02080624187256177,0.44,0.18827415359207267,0.16858237547892724,0.24444444444444444,0.5342465753424657,0.19449597170334298,0.01534246575426534,0.07700145748677577
23,0.45894263217097864,0.2840336134453782,0.5987179487179487,0.1261125405998228,0.06011287722938861,0.13148936170212766,0.5786073223259153,0.0,0.11053315994798439,0.184,0.2543352601156069,0.15555555555555556,0.2888888888888889,0.3424657534246575,0.11998164460746982,0.05561643835921186,0.5211210287662592
24,0.45781777277840274,0.392436974789916,0.4256410256410257,0.3855454085291264,0.183239198607559,0.29106382978723405,0.02512562814070352,0.12424242424242424,0.07802340702210664,0.16,0.016515276630883566,0.14176245210727972,0.32222222222222224,0.273972602739726,0.012775231088833376,0.035159817347132055,0.050144243384578624
25,0.45444319460067495,0.3512605042016807,0.6384615384615385,0.029142236470240848,0.04591614321707493,0.03446808510638298,0.4802584350323044,0.0,0.07932379713914174,0.364,0.16680429397192403,0.14406130268199235,0.31111111111111117,0.5205479452054794,0.022210532477526506,0.04474885844354788,0.47594262539897425
26,0.44769403824521936,0.34537815126050425,0.4743589743589744,0.2037109292613996,0.059162909897709635,0.16340425531914893,0.2354630294328787,0.0,0.03901170351105332,0.136,0.0800990916597853,0.08812260536398467,0.16666666666666666,0.2328767123287671,0.031846680978264874,0.03835616438566335,0.20358153957764413
27,0.44656917885264347,0.26638655462184874,0.5961538461538461,0.1412926561775003,0.0542019693878305,0.03148936170212766,0.5355348169418521,0.0,0.04811443433029909,0.384,0.17258464079273328,0.16628352490421455,0.2,0.4657534246575342,0.17519383393384955,0.6786090621193759,0.20851473026212902
28,0.4454443194600675,0.25798319327731095,0.6051282051282051,0.38695849327202936,0.18904455452337499,0.40936170212765954,0.09188801148600144,0.01818181818181818,0.29908972691807545,0.1,0.037985136251032205,0.21379310344827585,0.23333333333333336,0.2191780821917808,0.04208311415548614,0.14794520548207918,0.08208759507605953
29,0.4454443194600675,0.4252100840336135,0.34615384615384615,0.08087801071413504,0.11032392830490996,0.08382978723404255,0.2785355348169419,0.1393939393939394,0.2743823146944083,0.4,0.213047068538398,0.11647509578544063,0.7111111111111111,0.5616438356164384,0.31451590568482624,0.060730593617026346,0.13368060263057852
30,0.4420697412823397,0.25882352941176473,0.5987179487179487,0.2325157126587084,0.108825090959372,0.39999999999999997,0.02656137832017229,0.1,0.09102730819245775,0.1,0.18414533443435177,0.2245210727969349,0.30000000000000004,0.273972602739726,0.05470804840055386,0.08310502282921123,0.08749844714527932
31,0.4420697412823397,0.35882352941176476,0.44230769230769235,0.14604863542413632,0.17162848677592699,0.4025531914893617,0.2505384063173008,0.03333333333333333,0.04681404421326398,0.0,0.426094137076796,0.44521072796934863,0.4555555555555556,0.3424657534246575,0.3458705944274283,0.061959957858189585,0.03787661405810268
32,0.44094488188976383,0.2949579831932773,0.5397435897435897,0.2021080271649724,0.13679635128103093,0.565531914893617,0.2404881550610194,0.08484848484848485,0.2665799739921977,0.148,0.40049545829892647,0.4750957854406131,0.3444444444444445,0.2465753424657534,0.3829563387723147,0.17899543373583537,0.19040125885384612
33,0.4353205849268842,0.3226890756302521,0.4858974358974359,0.1748903277512971,0.08008857917608277,0.16680851063829785,0.26202440775305097,0.01818181818181818,0.17555266579973994,0.176,0.15111478117258464,0.14176245210727972,0.12222222222222223,0.3835616438356164,0.12504696776367674,0.060273972608782145,0.5253372964137676
34,0.4353205849268842,0.29747899159663865,0.5256410256410257,0.23702914750917448,0.1328909300285729,0.34510638297872337,0.004307250538406317,0.07272727272727272,0.09232769830949285,0.032,0.05202312138728323,0.1992337164750958,0.3777777777777778,0.3835616438356164,0.9999999999999999,0.05753424657849503,0.29871492259858784
35,0.43419572553430824,0.5445378151260505,0.43846153846153846,0.2546768886826676,0.22342809433386707,0.2621276595744681,0.11629576453697058,0.09696969696969697,0.05721716514954486,0.6,0.3270024772914946,0.24444444444444446,0.8666666666666667,0.6986301369863013,0.3135192004244422,0.06136986301706136,0.4336232377043788
