NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population
200,Winnwood,132,98,161,47585,103675,167,666,162,34,125,35,130,408,43,23,42,2428
57,Santa Fe,131,178,122,25792,50125,48,70,695,3,22,150,186,320,61,46,50,2009
140,Bonne Hills,128,203,115,56089,143475,263,510,179,9,74,31,173,410,26,34,27,1931
125,Foxtown East,126,459,66,39273,46100,33,113,441,0,190,93,94,337,10,32,27,847
230,Line Creek And Northern Heights,126,87,162,56358,160150,398,1497,357,139,229,72,271,835,8,19,16,2116
143,Willow Creek,125,323,89,46611,139177,399,537,616,27,51,79,537,715,27,28,47,3511
110,Waldo Homes,122,120,122,68125,139300,626,998,65,0,14,44,197,669,56,40,46,15392
95,Morningside,121,136,118,116154,282350,599,903,33,2,47,31,54,447,80,43,49,1465
11,Union Hill,114,16,132,47710,224866,412,595,145,70,124,70,416,522,75,59,57,795
26,18th And Vine And Downtown East,112,277,83,26363,103350,58,105,717,10,35,139,398,459,55,46,50,1317
219,Barry Harbour,112,277,83,70310,202700,409,1148,188,7,146,22,494,731,8,18,17,3850
207,Winnwood Gardens,111,278,84,49240,105400,60,519,23,6,225,0,90,317,31,20,26,817
233,Nashua,106,275,-68,88957,174050,612,1823,136,22,183,0,42,758,10,3,36,4132
158,Royal Oaks,100,216,-21,64412,146600,386,983,417,35,134,35,120,540,13,12,22,1355
105,Holmes Park,89,126,83,55277,205550,456,771,110,30,229,0,129,473,65,42,43,853
73,Valentine,87,232,61,40885,209250,288,656,192,15,87,91,535,620,81,48,63,1155
168,Bannister Acres,82,194,61,36903,96850,64,207,382,18,82,4,113,309,23,31,28,1462
226,Hawthorne And Picture Hills,79,230,-76,65824,168850,494,1360,244,26,154,83,283,799,37,26,53,1292
71,Coleman Highlands,78,-72,105,81429,240300,261,244,79,28,217,65,9,252,54,47,40,594
83,West Plaza,75,53,78,71120,196680,581,847,54,50,76,112,378,601,80,40,47,3850
182,Woodson Estates,74,80,74,39201,120700,193,186,476,0,43,0,169,361,27,32,26,818
91,South Plaza,70,35,77,89487,374000,544,746,57,67,29,99,260,476,87,46,40,2518
223,Park Forest,70,210,-76,95625,203750,619,1673,35,69,50,22,66,670,17,17,24,3515
70,Volker,65,114,56,54218,210880,457,770,43,25,129,41,307,510,78,42,57,3780
179,Blue Vue Hills,60,204,35,48351,139500,324,887,472,42,84,43,274,648,11,14,19,1544
183,Timber Valley,60,184,38,93576,179000,400,641,526,0,62,21,25,487,25,32,22,530
218,Coves North,54,185,-82,83274,226380,721,1545,263,149,203,64,414,897,28,27,47,7409
181,Fairway Hills,51,31,66,73289,121200,285,1128,833,84,419,93,110,880,18,14,24,2240
161,Loma Vista,50,175,-72,34308,96800,260,402,680,54,121,71,533,671,41,34,39,2722
222,Platte Ridge,50,168,-75,63500,150500,526,1708,439,330,266,0,447,1170,45,25,38,2409
217,Prairie Point-Wildberry,38,47,-6,89747,232100,784,1939,209,127,172,124,604,1122,25,18,38,2907
96,Wornall Homestead,32,7,36,127478,305000,584,978,0,5,44,29,27,444,66,41,42,844
176,Unity Ridge,22,-21,30,126046,305933,467,1055,190,7,26,18,63,443,4,12,13,661
4,CBD Downtown,21,115,4,56325,191933,860,1226,479,105,90,101,948,1123,26,32,19,1351
151,Blue Hills Estates,12,2,38,85750,260900,659,1279,103,17,37,187,101,581,19,24,28,1570
97,Country Club,0,0,0,113929,460500,420,551,26,64,20,0,0,274,53,38,43,723
149,Foxcroft And Glen Arbor,0,0,0,88100,323300,272,581,2,0,0,9,20,238,17,22,31,846
60,Oak Park Southeast,0,0,0,38989,40400,45,25,554,3,10,123,111,287,39,43,35,1689
92,Western 49-63,-2,-21,-18,92983,245900,414,728,40,37,49,9,88,346,70,47,47,3294
45,Lewis Heights,-14,-44,17,35156,92600,84,265,340,0,84,37,200,400,20,27,24,795
102,Armour Fields,-15,51,27,161250,490200,1414,2360,22,24,11,0,11,885,44,39,56,1988
10,Crown Center,-15,51,-27,61253,206400,452,644,124,35,45,75,326,517,71,65,59,520
98,Greenway Fields,-15,51,-27,181406,539100,608,979,23,4,67,0,15,392,74,40,56,827
2,River Market,-15,51,-27,77700,252800,1501,2019,201,112,138,206,1211,1496,81,70,69,1345
101,Romanelli West,-15,51,-27,113000,421200,398,631,0,0,65,0,0,316,20,33,37,742
84,Westwood,-15,51,-27,103594,273900,755,1013,15,52,58,114,204,626,63,34,35,576
225,Linden Park,-15,-37,3,65824,168850,494,1360,244,26,154,83,283,799,37,25,33,841
224,Royal Oaks North,-20,-30,-15,94333,215133,645,1570,49,49,64,27,28,688,12,12,19,1238
165,White Oak,-26,35,-37,58689,108600,117,348,477,25,89,25,61,335,12,9,31,2460
163,Stratford Estates,-29,34,-41,37500,93150,127,226,619,0,63,68,149,383,21,26,30,1934
175,Highview Estates,-32,1,-38,94950,237450,468,1010,370,16,41,27,142,626,4,2,18,1902
103,Armour Hills,-37,-50,-35,109479,276650,727,1015,18,44,13,24,94,572,62,42,48,2324
154,Hidden Valley,-42,-72,-11,29130,83100,286,1006,1167,21,94,207,786,980,3,34,15,1268
58,Oak Park Northwest,-55,-54,-57,27957,44850,30,44,666,0,33,151,160,306,52,46,42,2693
100,Stanford Gardens,-61,-78,-58,181406,539100,608,979,23,4,67,0,15,392,24,26,38,615
215,Lakeview Terrace,-84,-82,-75,61104,303550,347,778,125,218,189,57,273,565,22,20,24,958
22,North Blue Ridge,-89,-85,-93,31153,41850,40,333,51,8,233,116,116,256,19,32,13,961
189,Briarcliff And Claymont,-89,-85,-93,95488,220700,633,1286,24,24,123,28,40,604,30,26,22,2572
194,Chaumiere,122,277,83,23787,102350,78,798,246,23,6,108,210,426,27,24,34,1632
195,Colonial Square,122,277,83,68700,110700,107,562,84,36,69,6,139,312,27,26,26,765
99,Country Club District,-89,-85,-93,204271,704633,529,857,15,6,44,6,10,336,40,36,45,646
203,Country Club Estates And Big Shoal,122,277,83,65568,115300,115,766,30,0,120,73,101,328,23,26,32,1652
90,Countryside,-89,-85,-93,133508,368933,676,1043,28,11,39,1,47,457,66,42,39,1245
191,Crestview,120,56,90,52741,113900,212,748,136,83,70,86,245,456,47,28,39,3456
7,Crossroads,54,80,23,70810,242650,476,634,69,2,51,35,357,458,85,67,73,830
192,Davidson,340,140,221,55012,123933,248,826,249,93,150,40,289,548,31,29,33,4463
66,Dunbar,800,780,20,25996,21500,99,33,785,0,0,178,466,493,89,73,67,5089
113,Eastern 49-63,185,476,134,39205,103775,173,494,451,41,59,87,250,370,70,46,47,3313
47,Eastwood Hills West,445,924,359,33865,56766,63,243,488,14,70,128,260,434,15,25,19,1439
166,Fairwood And Robandee,129,373,85,42563,84620,114,284,469,17,71,46,199,356,37,32,37,3573
24,Forgotten Homes,122,277,83,25546,126750,151,207,1039,22,97,120,548,619,71,50,53,526
211,Gracemor-Randolph Corners,122,277,83,63034,123800,127,815,108,2,126,15,141,422,5,17,20,3432
208,Hill Haven,122,277,83,53228,58000,217,648,155,137,59,52,493,533,17,21,18,1903
16,Independence Plaza,220,486,175,24308,84780,88,168,604,29,145,107,311,406,71,46,55,2594
173,Kirkside,43,181,19,48236,164400,121,361,335,7,26,26,94,329,22,20,35,1531
174,Longview,-89,-85,-93,92998,247140,652,1508,276,58,73,9,161,681,8,,3,2803
