,NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population,Animals / Pets,City Facilities,Lights / Signals,Mowing / Weeds,Trash / Recycling
166,215,Lakeview Terrace,-84,-82,-75,61104,303550,347,778,125,218,189,57,273,565,22,20,24,958,1.75,,1.5,,2.769230769
167,22,North Blue Ridge,-89,-85,-93,31153,41850,40,333,51,8,233,116,116,256,19,32,13,961,10.05,,1.7,56,16.85
168,189,Briarcliff And Claymont,-89,-85,-93,95488,220700,633,1286,24,24,123,28,40,604,30,26,22,2572,12.86666667,,24,61.83333333,2.930555556
169,194,Chaumiere,122,277,83,23787,102350,78,798,246,23,6,108,210,426,27,24,34,1632,2.2,,5.5,13.33962264,26.09090909
170,195,Colonial Square,122,277,83,68700,110700,107,562,84,36,69,6,139,312,27,26,26,765,0.5,,,92.5,15.84615385
171,99,Country Club District,-89,-85,-93,204271,704633,529,857,15,6,44,6,10,336,40,36,45,646,1.2,,4,,2.444444444
172,203,Country Club Estates And Big Shoal,122,277,83,65568,115300,115,766,30,0,120,73,101,328,23,26,32,1652,13.35714286,,1.8,22.5,2.461538462
173,90,Countryside,-89,-85,-93,133508,368933,676,1043,28,11,39,1,47,457,66,42,39,1245,9,,24.625,18,12.70731707
174,191,Crestview,120,56,90,52741,113900,212,748,136,83,70,86,245,456,47,28,39,3456,2.105263158,,4,51.83333333,30.02985075
175,7,Crossroads,54,80,23,70810,242650,476,634,69,2,51,35,357,458,85,67,73,830,2.5,,9.310344828,,23.04545455
176,192,Davidson,340,140,221,55012,123933,248,826,249,93,150,40,289,548,31,29,33,4463,4.176470588,,3.470588235,70,4.12
177,66,Dunbar,800,780,20,25996,21500,99,33,785,0,0,178,466,493,89,73,67,5089,1.5,,1.8,93.22222222,19.05714286
178,113,Eastern 49-63,185,476,134,39205,103775,173,494,451,41,59,87,250,370,70,46,47,3313,5.446808511,,6.833333333,112.3870968,24.05263158
179,47,Eastwood Hills West,445,924,359,33865,56766,63,243,488,14,70,128,260,434,15,25,19,1439,8.965517241,,5.642857143,111.4,18.36448598
180,166,Fairwood And Robandee,129,373,85,42563,84620,114,284,469,17,71,46,199,356,37,32,37,3573,2.5,,5.428571429,92,12.47169811
181,24,Forgotten Homes,122,277,83,25546,126750,151,207,1039,22,97,120,548,619,71,50,53,526,2,,3,180,2.925925926
182,211,Gracemor-Randolph Corners,122,277,83,63034,123800,127,815,108,2,126,15,141,422,5,17,20,3432,12.68421053,,4,64.625,6.984375
183,208,Hill Haven,122,277,83,53228,58000,217,648,155,137,59,52,493,533,17,21,18,1903,1.846153846,,4.142857143,17.5,17.75
184,16,Independence Plaza,220,486,175,24308,84780,88,168,604,29,145,107,311,406,71,46,55,2594,10.25806452,180,4.5,111.5294118,26.375
185,173,Kirkside,43,181,19,48236,164400,121,361,335,7,26,26,94,329,22,20,35,1531,13.9,,5,10.5,22.72380952
186,174,Longview,-89,-85,-93,92998,247140,652,1508,276,58,73,9,161,681,8,,3,2803,11.46153846,,1.923076923,49,14.70909091
187,184,Martin City,73,207,49,67383,214600,268,573,96,0,74,41,78,314,29,23,35,1083,3,,3.4,44.25,12.56
188,152,Mission Lake,1,6,0,80428,198933,375,673,192,40,97,15,87,413,13,19,30,3095,8.076923077,,3.2,62,8.871794872
189,121,Neighbors United For Action,122,277,83,37222,49800,34,112,452,2,3,97,138,280,50,44,38,1147,24.76923077,,3.666666667,38.65384615,48.4893617
190,235,New Mark,122,277,83,86996,198650,690,2056,116,85,252,52,323,977,23,10,27,4761,1.272727273,,2.5,50.8,13.84357542
191,86,Park Central-Research Park,122,277,83,55240,526866,358,943,149,41,30,79,397,514,79,49,54,861,1,,27.8,,9.666666667
192,229,Park Plaza,-2,-31,16,88507,246400,465,1023,61,26,158,33,183,587,21,25,32,2453,1.416666667,,3.7,44.75,6.537815126
193,186,Richards Gebaur,213,560,12,39028,106800,119,555,120,0,53,43,129,247,6,0,30,837,7.166666667,,53.14285714,38.66666667,21.34615385
194,239,Ridgefield,89,31,60,82241,183371,421,1143,85,2,118,30,71,506,12,18,29,4975,1.833333333,,2.739130435,65,18.30434783
195,39,Riss Lake,70,65,240,49849,99100,147,582,525,4,85,79,287,570,19,36,19,2631,9.347826087,,5.5,56,52.40816327
196,190,River View,54,76,127,56404,139900,209,615,62,6,71,156,286,419,33,27,23,1550,2.272727273,,14,41.5,20.89361702
197,8,Westside North,122,277,83,50958,210200,379,525,148,9,278,87,376,542,68,54,49,1930,5,,11.59090909,,14.08450704
198,209,Winnetonka,122,277,83,73875,115100,148,929,133,49,188,0,187,471,13,21,18,1232,1.333333333,,3.166666667,17.26315789,3.684210526
